"id","control_id","requirement","chunk","metadata"
"40d71acc-a66e-4087-8b98-ae2da94afafa","1.3.1","Inbound traffic to the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied.","PCI DSS 4_0_1 Requirement Control 1.3.1

Defined Approach Requirements:
Inbound traffic to the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied.

Customized Approach Objective:
Unauthorized traffic cannot enter the CDE.

Testing Procedures:
Testing Procedure 1.3.1.a: Examine configuration standards for NSCs to verify that they define restricting inbound traffic to the CDE is in accordance with all elements specified in this requirement.
Testing Procedure 1.3.1.b: Examine configurations of NSCs to verify that inbound traffic to the CDE is restricted in accordance with all elements specified in this requirement.

Guidance:
Purpose: This requirement aims to prevent malicious individuals from accessing the entity’s network via unauthorized ip addresses or from using services, protocols, or ports in an unauthorized manner. Examples: Implementing a rule that denies all inbound and outbound traffic that is not specifically needed— for example, by using an explicit “deny all” or implicit deny after allow statement—helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic. Good Practice: All traffic inbound to the cde, regardless of where it originates, should be evaluated to ensure it follows established, authorized rules. connections should be inspected to ensure traffic is restricted to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.","{""control_id"": ""1.3.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"d3949fe0-fcf7-41e3-b09b-9422380a5906","1.3.2","Outbound traffic from the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied.","PCI DSS 4_0_1 Requirement Control 1.3.2

Defined Approach Requirements:
Outbound traffic from the CDE is restricted as follows: To only traffic that is necessary. All other traffic is specifically denied.

Customized Approach Objective:
Unauthorized traffic cannot leave the CDE.

Testing Procedures:
Testing Procedure 1.3.2.a: Examine configuration standards for NSCs to verify that they define restricting outbound traffic from the CDE in accordance with all elements specified in this requirement.
Testing Procedure 1.3.2.b: Examine configurations of NSCs to verify that outbound traffic from the CDE is restricted in accordance with all elements specified in this requirement.

Guidance:
Purpose: This requirement aims to prevent malicious individuals and compromised system components within the entity’s network from communicating with an untrusted external host. Examples: Implementing a rule that denies all inbound and outbound traffic that is not specifically needed— for example, by using an explicit “deny all” or implicit deny after allow statement—helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic. Good Practice: All traffic outbound from the cde, regardless of the destination, should be evaluated to ensure it follows established, authorized rules. connections should be inspected to restrict traffic to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.","{""control_id"": ""1.3.2"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"769bc9a7-a3a2-4d68-8eb8-411e73b0fe07","1.3.3","NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that: All wireless traffic from wireless networks into the CDE is denied by default. Only wireless traffic with an authorized business purpose is allowed into the CDE.","PCI DSS 4_0_1 Requirement Control 1.3.3

Defined Approach Requirements:
NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that: All wireless traffic from wireless networks into the CDE is denied by default. Only wireless traffic with an authorized business purpose is allowed into the CDE.

Customized Approach Objective:
Unauthorized traffic cannot traverse network boundaries between any wireless networks and wired environments in the CDE.

Testing Procedures:
Testing Procedure 1.3.3: Examine configuration settings and network diagrams to verify that NSCs are implemented between all wireless networks and the CDE, in accordance with all elements specified in this requirement.

Guidance:
Purpose: The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and account data. if a wireless device or network is installed without the entity’s knowledge, a malicious individual could easily and “invisibly” enter the network. if nscs do not restrict access from wireless networks into the cde, malicious individuals that gain unauthorized access to the wireless network can easily connect to the cde and compromise account information.","{""control_id"": ""1.3.3"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"f88927a4-c37e-4b61-84cd-fac22fc3018c","1.4.1","NSCs are implemented between trusted and untrusted networks.","PCI DSS 4_0_1 Requirement Control 1.4.1

Defined Approach Requirements:
NSCs are implemented between trusted and untrusted networks.

Customized Approach Objective:
Unauthorized traffic cannot traverse network boundaries between trusted and untrusted networks.

Testing Procedures:
Testing Procedure 1.4.1.a: Examine configuration standards and network diagrams to verify that NSCs are defined between trusted and untrusted networks.
Testing Procedure 1.4.1.b: Examine network configurations to verify that NSCs are in place between trusted and untrusted networks, in accordance with the documented configuration standards and network diagrams.

Guidance:
Purpose: Implementing nscs at every connection coming into and out of trusted networks allows the entity to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection. Examples: An entity could implement a dmz, which is a part of the network that manages connections between an untrusted network (for examples of untrusted networks refer to the requirement 1 overview) and services that an organization needs to have available to the public, such as a web server. please note that if an entity’s dmz processes or transmits account data (for example, e-commerce website), it is also considered a cde.","{""control_id"": ""1.4.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"3831528e-77af-4a0b-a7c4-74846bfafaf9","1.4.2","Inbound traffic from untrusted networks to trusted networks is restricted to: Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. Stateful responses to communications initiated by system components in a trusted network. All other traffic is denied.","PCI DSS 4_0_1 Requirement Control 1.4.2

Defined Approach Requirements:
Inbound traffic from untrusted networks to trusted networks is restricted to: Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. Stateful responses to communications initiated by system components in a trusted network. All other traffic is denied.

Customized Approach Objective:
Only traffic that is authorized or that is a response to a system component in the trusted network can enter a trusted network from an untrusted network.

Applicability Notes:
The intent of this requirement is to address communication sessions between trusted and untrusted networks, rather than the specifics of protocols. This requirement does not limit the use of UDP or other connectionless network protocols if state is maintained by the NSC.

Testing Procedures:
Testing Procedure 1.4.2: Examine vendor documentation and configurations of NSCs to verify that inbound traffic from untrusted networks to trusted networks is restricted in accordance with all elements specified in this requirement.

Guidance:
Purpose: Ensuring that public access to a system component is specifically authorized reduces the risk of system components being unnecessarily exposed to untrusted networks. Good Practice: System components that provide publicly accessible services, such as email, web, and dns servers, are the most vulnerable to threats originating from untrusted networks. ideally, such systems are placed within a dedicated trusted network that is public facing (for example, a dmz) but that is separated via nscs from more sensitive internal systems, which helps protect the rest of the network in the event these externally accessible systems are compromised. this functionality is intended to prevent malicious actors from accessing the organization's internal network from the internet, or from using services, protocols, or ports in an unauthorized manner. where this functionality is provided as a built-in feature of an nsc, the entity should ensure that its configurations do not result in the functionality being disabled or bypassed. Definitions: Maintaining the ""state"" (or status) for each connection into a network means the nsc “knows” whether an apparent response to a previous connection is a valid, authorized response (since the nsc retains each connection’s status) or whether it is malicious traffic trying to fool the nsc into allowing the connection.","{""control_id"": ""1.4.2"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"41ae72f3-38db-4d6c-b6a8-18affc110be4","1.4.3","Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.","PCI DSS 4_0_1 Requirement Control 1.4.3

Defined Approach Requirements:
Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.

Customized Approach Objective:
Packets with forged IP source addresses cannot enter a trusted network.

Testing Procedures:
Testing Procedure 1.4.3: Examine vendor documentation and configurations for NSCs to verify that anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.

Guidance:
Purpose: Filtering packets coming into the trusted network helps to, among other things, ensure packets are not “spoofed” to appear as if they are coming from an organization’s own internal network. for example, anti-spoofing measures prevent internal addresses originating from the internet from passing into the dmz. Examples: Normally, a packet contains the ip address of the computer that originally sent it so other computers in the network know where the packet originated. malicious individuals will often try to spoof (or imitate) the sending ip address to fool the target system into believing the packet is from a trusted source. Good Practice: Products usually come with anti-spoofing set as a default and may not be configurable. entities should consult the vendor's documentation for more information.","{""control_id"": ""1.4.3"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"d3ac8efa-ad5b-4151-bd29-9a4662ae6970","1.4.4","System components that store cardholder data are not directly accessible from untrusted networks.","PCI DSS 4_0_1 Requirement Control 1.4.4

Defined Approach Requirements:
System components that store cardholder data are not directly accessible from untrusted networks.

Customized Approach Objective:
Stored cardholder data cannot be accessed from untrusted networks.

Applicability Notes:
This requirement is not intended to apply to storage of account data in volatile memory but does apply where memory is being treated as persistent storage (for example, RAM disk). Account data can only be stored in volatile memory during the time necessary to support the associated business process (for example, until completion of the related payment card transaction).

Testing Procedures:
Testing Procedure 1.4.4.a: Examine the data-flow diagram and network diagram to verify that it is documented that system components storing cardholder data are not directly accessible from the untrusted networks.
Testing Procedure 1.4.4.b: Examine configurations of NSCs to verify that controls are implemented such that system components storing cardholder data are not directly accessible from untrusted networks.

Guidance:
Purpose: Cardholder data that is directly accessible from an untrusted network, for example, because it is stored on a system within the dmz or in a cloud database service, is easier for an external attacker to access because there are fewer defensive layers to penetrate. using nscs to ensure that system components that store cardholder data (such as a database or a file) can only be directly accessed from trusted networks can prevent unauthorized network traffic from reaching the system component.","{""control_id"": ""1.4.4"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"4369ca2b-8918-43f4-b3a9-d3e182118223","1.4.5","The disclosure of internal IP addresses and routing information is limited to only authorized parties.","PCI DSS 4_0_1 Requirement Control 1.4.5

Defined Approach Requirements:
The disclosure of internal IP addresses and routing information is limited to only authorized parties.

Customized Approach Objective:
Internal network information is protected from unauthorized disclosure.

Testing Procedures:
Testing Procedure 1.4.5.a: Examine configurations of NSCs to verify that the disclosure of internal IP addresses and routing information is limited to only authorized parties.
Testing Procedure 1.4.5.b: Interview personnel and examine documentation to verify that controls are implemented such that any disclosure of internal IP addresses and routing information is limited to only authorized parties.

Guidance:
Purpose: Restricting the disclosure of internal, private, and local ip addresses is useful to prevent a hacker from obtaining knowledge of these ip addresses and using that information to access the network. Examples: Methods to obscure ip addressing may include, but are not limited to: ipv4 network address translation (nat). placing system components behind proxy servers/nscs. removal or filtering of route advertisements for internal networks that use registered addressing. internal use of rfc 1918 (ipv4) or use ipv6 privacy extension (rfc 4941) when initiating outgoing sessions to the internet. Good Practice: Methods used to meet the intent of this requirement may vary, depending on the specific networking technology being used. for example, the controls used to meet this requirement may be different for ipv4 networks than for ipv6 networks.","{""control_id"": ""1.4.5"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"976ea3e9-3896-4b64-a92b-952297207d2c","1.5.1","Security controls are implemented on any computing devices, including company- and employee-owned devices, that connect to both untrusted networks (including the Internet) and the CDE as follows: Specific configuration settings are defined to prevent threats being introduced into the entity’s network. Security controls are actively running. Security controls are not alterable by users of the computing devices unless specifically documented and authorized by management on a case-by-case basis for a limited period.","PCI DSS 4_0_1 Requirement Control 1.5.1

Defined Approach Requirements:
Security controls are implemented on any computing devices, including company- and employee-owned devices, that connect to both untrusted networks (including the Internet) and the CDE as follows: Specific configuration settings are defined to prevent threats being introduced into the entity’s network. Security controls are actively running. Security controls are not alterable by users of the computing devices unless specifically documented and authorized by management on a case-by-case basis for a limited period.

Customized Approach Objective:
Devices that connect to untrusted environments and also connect to the CDE cannot introduce threats to the entity’s CDE.

Testing Procedures:
Testing Procedure 1.5.1.a: Examine policies and configuration standards and interview personnel to verify security controls for computing devices that connect to both untrusted networks, and the CDE, are implemented in accordance with all elements specified in this requirement.
Testing Procedure 1.5.1.b: Examine configuration settings on computing devices that connect to both untrusted networks and the CDE to verify settings are implemented in accordance with all elements specified in this requirement.

Guidance:
Purpose: Computing devices that are allowed to connect to the internet from outside the corporate environment—for example, desktops, laptops, tablets, smartphones, and other mobile computing devices used by employees—are more vulnerable to internet-based threats. use of security controls such as host-based controls (for example, personal firewall software or end-point protection solutions), network-based security controls (for example, firewalls, network- based heuristics inspection, and malware simulation), or hardware, helps to protect devices from internet-based attacks, which could use the device to gain access to the organization’s systems and data when the device reconnects to the network. _(continued on next page)_. Examples: Practices include forbidding split-tunneling of vpns for employee-owned or corporate-owned mobile devices and requiring that such devices boot up into a vpn. Good Practice: The specific configuration settings are determined by the entity and should be consistent with its network security policies and procedures. where there is a legitimate need to temporarily disable security controls on a company-owned or employee-owned device that connects to both an untrusted network and the cde—for example, to support a specific maintenance activity or investigation of a technical problem—the reason for taking such action is understood and approved by an appropriate management representative. any disabling or altering of these security controls, including on administrators’ own devices, is performed by authorized personnel. it is recognized that administrators have privileges that may allow them to disable security controls on their own computers, but there should be alerting mechanisms in place when such controls are disabled and follow up that occurs to ensure processes were followed.","{""control_id"": ""1.5.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""network_security"", ""has_testing_procedures"": true, ""requirements_id"": ""1""}"
"68c8e047-2f13-4e6a-a1be-0db9a5b61e8e","10.1.1","All security policies and operational procedures that are identified in Requirement 10 are: Documented. Kept up to date. In use. Known to all affected parties.","PCI DSS 4_0_1 Requirement Control 10.1.1

Defined Approach Requirements:
All security policies and operational procedures that are identified in Requirement 10 are: Documented. Kept up to date. In use. Known to all affected parties.

Customized Approach Objective:
Expectations, controls, and oversight for meeting activities within Requirement 10 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management’s intent.

Testing Procedures:
Testing Procedure 10.1.1: Examine documentation and interview personnel to verify that security policies and operational procedures identified in Requirement 10 are managed in accordance with all elements specified in this requirement.","{""control_id"": ""10.1.1"", ""standard"": ""PCI-DSS-v4.0"", ""source"": ""PCI_DSS_PDF_v4.0"", ""control_category"": ""logging_monitoring"", ""has_testing_procedures"": true, ""requirements_id"": ""10""}"
